cell_id,cycle_index,elapsed_time_h,ambient_temperature_c,capacity_ah,soh,rul_cycles,mean_discharge_current_a,mean_temperature_c,mean_voltage_v,re_ohm,rct_ohm
B0005,0,0.0,24.0,1.8564874208181574,1.0,161,-1.8187019641679727,32.572328114029,3.5298286688693397,,
B0005,1,1.025065,24.0,1.846327249719927,0.9945272071416714,160,-1.8175598506612867,32.72523522519307,3.5373201277859714,,
B0005,2,2.0451605555555554,24.0,1.8353491942234077,0.9886138595081705,159,-1.8164865418840956,32.64286193755933,3.5437367282719,,
B0005,3,3.0595052777777774,24.0,1.8352625275821128,0.9885671763794173,158,-1.8255891938692528,32.51487646204882,3.5436661072601456,,
B0005,4,4.068272777777778,24.0,1.8346455082120419,0.9882348178817771,157,-1.8261139590277586,32.38234901543077,3.5423432526672167,,
B0005,5,5.076376111111111,24.0,1.8356616600675495,0.9887821697485943,156,-1.8168108743168803,32.43418218230641,3.5413347346347575,,
B0005,6,6.090898611111111,24.0,1.8351461429226603,0.9885044855913476,155,-1.816791144707133,32.480416444757985,3.5410250495075215,,
B0005,7,7.1050175,24.0,1.8257567905665537,0.9834468955151549,154,-1.8443412120754061,32.41046186109587,3.554133296801584,,
B0005,8,8.097365555555555,24.0,1.8247738529891333,0.9829174345738104,153,-1.853972745505648,32.3461408313,3.5529355991467955,,
B0005,9,9.083641666666667,24.0,1.824613268496936,0.982830935473199,152,-1.8535899338510957,32.27679750791685,3.5512057319376997,,
B0005,10,10.0701,24.0,1.8246195526864504,0.9828343204622076,151,-1.863380178294828,32.15709350345252,3.549292319740949,,
B0005,11,11.050725,24.0,1.8142019357673917,0.9772228539894279,150,-1.872968810287894,32.36407129853099,3.559759220648976,,
B0005,12,12.020451666666666,24.0,1.8137521577549054,0.9769805803238794,149,-1.8826095043160833,32.3181954403762,3.558081969139198,,
B0005,13,12.98441861111111,24.0,1.8134404914735822,0.9768127007692816,148,-1.882536787636365,32.15709029211502,3.555692244172496,,
B0005,14,13.948307499999999,24.0,1.8025980036306504,0.9709723768751647,147,-1.8817935155260215,32.04407000314609,3.562746818017503,,
B0005,15,14.906723333333332,24.0,1.80210690024615,0.9707078432300706,146,-1.8921861285036712,31.931593674911532,3.5614521756489204,,
B0005,16,15.859336388888888,24.0,1.802579500826209,0.9709624103091467,145,-1.9027629207037406,31.941655359029298,3.5603420474985823,,
B0005,17,16.806415277777777,24.0,1.8030683142834096,0.9712257104811376,144,-1.9133470605822436,31.965008645476725,3.5591189041401865,,
B0005,18,17.748199166666666,24.0,1.8027776247196041,0.9710691300699019,143,-1.9131602105481538,31.966241678512723,3.557886771846508,,
B0005,19,18.689943888888887,24.0,1.8470259949329193,0.9949035873989017,142,-1.8553455745575975,32.37143341978575,3.5520375235511907,0.04466870036616091,0.06945627304536996
B0005,20,19.687647777777777,24.0,1.847417311283644,0.995114370594272,141,-1.8746995273150975,32.70024990461686,3.5525668436897124,0.044843430573346096,0.0679720560130687
B0005,21,20.674396944444442,24.0,1.8361774213478947,0.9890599854098058,140,-1.873827212788385,32.32266411829938,3.556794038327039,0.04510114851143001,0.06852832896000328
B0005,22,21.655390833333332,24.0,1.8257807475776242,0.9834597999985366,139,-1.883193546754683,31.98795810666763,3.5614100044534203,0.044172075577171746,0.06804449516996176
B0005,23,22.625642777777777,24.0,1.8251136435078368,0.9831004632950897,138,-1.873239184822504,31.894456524691385,3.5566107947817986,0.043786628196075913,0.06845021227072765
B0005,24,23.601085555555557,24.0,1.8255815042203762,0.9833524772367372,137,-1.9139593751505897,31.78039681801023,3.5586742170266272,0.04463932198878524,0.0683410113732366
